"V2" "V3" "V4" "location" "arm"
"TMED7" "chr5" 114949205 114968689 "5q22.3" "q"
"ATG12" "chr5" 115163893 115177555 "5q22.3" "q"
"AP3S1" "chr5" 115177178 115249778 "5q22.3-q23.1" "q"
"COMMD10" "chr5" 115420688 115748459 "5q23.1" "q"
"SEMA6A" "chr5" 115779312 115910630 "5q23.1" "q"
"LINC00992" "chr5" 116751205 116881993 "5q23.1" "q"
"DMXL1" "chr5" 118373467 118584833 "5q23.1" "q"
"TNFAIP8" "chr5" 118604387 118735383 "5q23.1" "q"
"HSD17B4" "chr5" 118788138 118972894 "5q23.1" "q"
"SRFBP1" "chr5" 121297656 121411265 "5q23.1" "q"
"SNX2" "chr5" 122110691 122165803 "5q23.2" "q"
"PPIC" "chr5" 122358945 122372436 "5q23.2" "q"
"CSNK1G3" "chr5" 122847793 122952739 "5q23.2" "q"
"GRAMD3" "chr5" 125695824 125832186 NA "q"
"ALDH7A1" "chr5" 125877533 125931110 "5q23.2" "q"
"PHAX" "chr5" 125935960 125962944 "5q23.2" "q"
"LMNB1" "chr5" 126112315 126172712 "5q23.2" "q"
"MARCH3" "chr5" 126203406 126366500 NA "q"
"C5orf63" "chr5" 126378250 126409184 "5q23.2" "q"
"PRRC1" "chr5" 126853301 126890781 "5q23.2" "q"
"SLC12A2" "chr5" 127419458 127525380 "5q23.3" "q"
"ISOC1" "chr5" 128430444 128449721 "5q23.3" "q"
"HINT1" "chr5" 130494720 130507428 "5q23.3" "q"
"LYRM7" "chr5" 130506503 130541119 "5q23.3-q31.1" "q"
"CDC42SE2" "chr5" 130581186 130734140 "5q31.1" "q"
"FNIP1" "chr5" 130977407 131132710 "5q31.1" "q"
"ACSL6" "chr5" 131142683 131347936 "5q31.1" "q"
"P4HA2" "chr5" 131527531 131631008 "5q31.1" "q"
"SLC22A5" "chr5" 131705444 131731306 "5q31.1" "q"
"C5orf56" "chr5" 131746328 131811736 NA "q"
"IRF1" "chr5" 131817301 131826490 "5q31.1" "q"
"RAD50" "chr5" 131891711 131980313 "5q31.1" "q"
"KIF3A" "chr5" 132028320 132073330 "5q31.1" "q"
"SEPT8" "chr5" 132086509 132142933 NA "q"
"SHROOM1" "chr5" 132157833 132166590 "5q31.1" "q"
"UQCRQ" "chr5" 132202252 132203723 "5q31.1" "q"
"AFF4" "chr5" 132211071 132299326 "5q31.1" "q"
"ZCCHC10" "chr5" 132332677 132362296 "5q31.1" "q"
"HSPA4" "chr5" 132387654 132442141 "5q31.1" "q"
"C5orf15" "chr5" 133291201 133304478 "5q31.1" "q"
"VDAC1" "chr5" 133307606 133340824 "5q31.1" "q"
"TCF7" "chr5" 133450402 133487556 "5q31.1" "q"
"SKP1" "chr5" 133484633 133512729 "5q31.1" "q"
"PPP2CA" "chr5" 133530025 133561833 "5q31.1" "q"
"UBE2B" "chr5" 133706870 133727683 "5q31.1" "q"
"CDKN2AIPNL" "chr5" 133737778 133747589 "5q31.1" "q"
"SAR1B" "chr5" 133936834 133984961 "5q31.1" "q"
"SEC24A" "chr5" 133984479 134063513 "5q31.1" "q"
"CAMLG" "chr5" 134074191 134087847 "5q31.1" "q"
"DDX46" "chr5" 134094469 134190823 "5q31.1" "q"
"C5orf24" "chr5" 134181370 134195427 "5q31.1" "q"
"TXNDC15" "chr5" 134209493 134237215 "5q31.1" "q"
"PCBD2" "chr5" 134240596 134343649 "5q31.1" "q"
"PITX1" "chr5" 134363425 134370503 "5q31.1" "q"
"H2AFY" "chr5" 134669590 134735604 NA "q"
"CXCL14" "chr5" 134906373 134914969 "5q31.1" "q"
"TGFBI" "chr5" 135364584 135399507 "5q31.1" "q"
"SMAD5" "chr5" 135468534 135524435 "5q31.1" "q"
"HNRNPA0" "chr5" 137087075 137090039 "5q31.2" "q"
"BRD8" "chr5" 137475455 137514675 "5q31.2" "q"
"CDC23" "chr5" 137523339 137549032 "5q31.2" "q"
"FAM53C" "chr5" 137667624 137685416 "5q31.2" "q"
"KDM3B" "chr5" 137688285 137772717 "5q31.2" "q"
"EGR1" "chr5" 137801179 137805004 "5q31.2" "q"
"ETF1" "chr5" 137841784 137878989 "5q31.2" "q"
"HSPA9" "chr5" 137890571 137911133 "5q31.2" "q"
"CTNNA1" "chr5" 137946656 138270723 "5q31.2" "q"
"SIL1" "chr5" 138282409 138629246 "5q31.2" "q"
"PAIP2" "chr5" 138677276 138705406 "5q31.2" "q"
"TMEM173" "chr5" 138855119 138862520 NA "q"
"UBE2D2" "chr5" 138906016 139008018 "5q31.2" "q"
"CXXC5" "chr5" 139026884 139063467 "5q31.2" "q"
"PURA" "chr5" 139487362 139496321 "5q31.3" "q"
"CYSTM1" "chr5" 139554227 139661637 "5q31.3" "q"
"PFDN1" "chr5" 139624624 139682706 "5q31.3" "q"
"HBEGF" "chr5" 139712428 139726216 "5q31.3" "q"
"ANKHD1" "chr5" 139781399 139929163 "5q31.3" "q"
"SRA1" "chr5" 139916925 139937895 "5q31.3" "q"
"SLC35A4" "chr5" 139944041 139948688 "5q31.3" "q"
"NDUFA2" "chr5" 140018325 140027370 "5q31.3" "q"
"IK" "chr5" 140026643 140042064 "5q31.3" "q"
"WDR55" "chr5" 140044261 140053709 "5q31.3" "q"
"HARS" "chr5" 140052758 140071609 NA "q"
"HARS2" "chr5" 140071011 140078889 "5q31.3" "q"
"ZMAT2" "chr5" 140078265 140086248 "5q31.3" "q"
"TAF7" "chr5" 140698057 140700330 "5q31.3" "q"
"DIAPH1" "chr5" 140894583 140998622 "5q31.3" "q"
"HDAC3" "chr5" 141000443 141016437 "5q31.3" "q"
"PCDH1" "chr5" 141232938 141258811 "5q31.3" "q"
"KIAA0141" "chr5" 141303373 141321612 NA "q"
"RNF14" "chr5" 141337893 141369856 "5q31.3" "q"
"GNPDA1" "chr5" 141371314 141392606 "5q31.3" "q"
"NDFIP1" "chr5" 141488070 141534005 "5q31.3" "q"
"ARHGAP26" "chr5" 142149949 142608576 "5q31.3" "q"
"YIPF5" "chr5" 143537723 143550278 "5q31.3" "q"
"PRELID2" "chr5" 144851362 145214932 "5q32" "q"
"SH3RF2" "chr5" 145316142 145461354 "5q32" "q"
"LARS" "chr5" 145492601 145562223 NA "q"
"RBM27" "chr5" 145583113 145718814 "5q32" "q"
"TCERG1" "chr5" 145826874 145891524 "5q32" "q"
"SPINK1" "chr5" 147204131 147211349 "5q32" "q"
"SPINK5" "chr5" 147405246 147516852 "5q32" "q"
"GRPEL2" "chr5" 148724993 148734146 "5q32" "q"
"CSNK1A1" "chr5" 148871760 148931007 "5q32" "q"
"SLC26A2" "chr5" 149340300 149373018 "5q32" "q"
"HMGXB3" "chr5" 149379884 149432386 "5q32" "q"
"CDX1" "chr5" 149546358 149564120 "5q32" "q"
"TCOF1" "chr5" 149737202 149779871 "5q32-q33.1" "q"
"CD74" "chr5" 149781200 149792492 "5q33.1" "q"
"RPS14" "chr5" 149822753 149829319 "5q33.1" "q"
"RBM22" "chr5" 150070356 150080669 "5q33.1" "q"
"DCTN4" "chr5" 150088002 150138671 "5q33.1" "q"
"SMIM3" "chr5" 150157508 150176296 "5q33.1" "q"
"TNIP1" "chr5" 150409506 150473138 "5q33.1" "q"
"ANXA6" "chr5" 150480273 150537443 "5q33.1" "q"
"GM2A" "chr5" 150591711 150650001 "5q33.1" "q"
"SPARC" "chr5" 151040657 151066726 "5q33.1" "q"
"ATOX1" "chr5" 151121877 151152093 "5q33.1" "q"
"G3BP1" "chr5" 151150606 151192346 "5q33.1" "q"
"GALNT10" "chr5" 153570290 153800544 "5q33.2" "q"
"SAP30L" "chr5" 153825517 153840614 "5q33.2" "q"
"LARP1" "chr5" 154092462 154197167 "5q33.2" "q"
"CNOT8" "chr5" 154237113 154256353 "5q33.2" "q"
"MRPL22" "chr5" 154320630 154348971 "5q33.2" "q"
"MED7" "chr5" 156564423 156586030 "5q33.3" "q"
"CYFIP2" "chr5" 156693089 156822606 "5q33.3" "q"
"THG1L" "chr5" 157158205 157168456 "5q33.3" "q"
"CLINT1" "chr5" 157212751 157286183 "5q33.3" "q"
"RNF145" "chr5" 158584417 158637061 "5q33.3" "q"
"UBLCP1" "chr5" 158690089 158713044 "5q33.3" "q"
"TTC1" "chr5" 159436120 159492550 "5q33.3" "q"
"PWWP2A" "chr5" 159488808 159546430 "5q33.3" "q"
"FABP6" "chr5" 159614374 159665742 "5q33.3" "q"
"SLU7" "chr5" 159828648 159848718 "5q33.3" "q"
"PTTG1" "chr5" 159848829 159855748 "5q33.3" "q"
"ATP10B" "chr5" 159990127 160279221 "5q34" "q"
"CCNG1" "chr5" 162864575 162873157 "5q34" "q"
"NUDCD2" "chr5" 162873532 162887146 "5q34" "q"
"HMMR" "chr5" 162887209 162918947 "5q34" "q"
"MAT2B" "chr5" 162930120 162946342 "5q34" "q"
"WWC1" "chr5" 167718656 167899308 "5q34" "q"
"RARS" "chr5" 167913450 167946304 NA "q"
"PANK3" "chr5" 167975500 168006605 "5q34" "q"
"SPDL1" "chr5" 169010638 169031782 "5q35.1" "q"
"GABRP" "chr5" 170190354 170241051 "5q35.1" "q"
"NPM1" "chr5" 170814120 170838141 "5q35.1" "q"
"FBXW11" "chr5" 171288553 171433877 "5q35.1" "q"
"STK10" "chr5" 171469077 171615390 "5q35.1" "q"
"UBTD2" "chr5" 171636644 171711075 "5q35.1" "q"
"NEURL1B" "chr5" 172068269 172118543 "5q35.1" "q"
"DUSP1" "chr5" 172195093 172198198 "5q35.1" "q"
"ERGIC1" "chr5" 172261278 172379688 "5q35.1" "q"
"RPL26L1" "chr5" 172385732 172396774 "5q35.1" "q"
"ATP6V0E1" "chr5" 172410760 172462448 "5q35.1" "q"
"CREBRF" "chr5" 172483355 172566291 "5q35.1" "q"
"BNIP1" "chr5" 172571445 172591390 "5q35.1" "q"
"BOD1" "chr5" 173034517 173043663 "5q35.2" "q"
"CPEB4" "chr5" 173315283 173388979 "5q35.2" "q"
"MSX2" "chr5" 174151536 174157896 "5q35.2" "q"
"SFXN1" "chr5" 174904065 174956745 "5q35.2" "q"
"THOC3" "chr5" 175344876 175461683 "5q35.2" "q"
"KIAA1191" "chr5" 175773064 175788971 "5q35.2" "q"
"NOP16" "chr5" 175810949 175815976 "5q35.2" "q"
"HIGD2A" "chr5" 175815748 175816772 "5q35.2" "q"
"CLTB" "chr5" 175819456 175843570 "5q35.2" "q"
"FAF2" "chr5" 175874629 175937075 "5q35.2" "q"
"RNF44" "chr5" 175953698 175965026 "5q35.2" "q"
"CDHR2" "chr5" 175969512 176022975 "5q35.2" "q"
"TSPAN17" "chr5" 176074388 176086058 "5q35.2" "q"
"UIMC1" "chr5" 176332006 176449634 "5q35.2" "q"
"FGFR4" "chr5" 176513887 176525145 "5q35.2" "q"
"NSD1" "chr5" 176560026 176727216 "5q35.3" "q"
"PRELID1" "chr5" 176730775 176733960 "5q35.3" "q"
"LMAN2" "chr5" 176758563 176778853 "5q35.3" "q"
"RGS14" "chr5" 176784838 176799602 "5q35.3" "q"
"F12" "chr5" 176829141 176836577 "5q35.3" "q"
"GRK6" "chr5" 176830205 176869902 "5q35.3" "q"
"PRR7" "chr5" 176873446 176883283 "5q35.3" "q"
"PDLIM7" "chr5" 176910395 176924607 "5q35.3" "q"
"DDX41" "chr5" 176938578 176944470 "5q35.3" "q"
"TMED9" "chr5" 177019159 177023125 "5q35.3" "q"
"B4GALT7" "chr5" 177027101 177037348 "5q35.3" "q"
"RMND5B" "chr5" 177557997 177577566 "5q35.3" "q"
"NHP2" "chr5" 177576461 177580968 "5q35.3" "q"
"HNRNPAB" "chr5" 177631508 177638164 "5q35.3" "q"
"PHYKPL" "chr5" 177635498 177659792 "5q35.3" "q"
"CLK4" "chr5" 178029665 178057616 "5q35.3" "q"
"RUFY1" "chr5" 178977559 179037027 "5q35.3" "q"
"HNRNPH1" "chr5" 179041179 179061785 "5q35.3" "q"
"CANX" "chr5" 179105629 179157926 "5q35.3" "q"
"MAML1" "chr5" 179159851 179223512 "5q35.3" "q"
"MGAT4B" "chr5" 179224597 179233952 "5q35.3" "q"
"SQSTM1" "chr5" 179233388 179265078 "5q35.3" "q"
"C5orf45" "chr5" 179261436 179289173 NA "q"
"TBC1D9B" "chr5" 179289066 179334859 "5q35.3" "q"
"RNF130" "chr5" 179338651 179499118 "5q35.3" "q"
"MAPK9" "chr5" 179660143 179719099 "5q35.3" "q"
"CNOT6" "chr5" 179921412 180005405 "5q35.3" "q"
"MGAT1" "chr5" 180217541 180242652 "5q35.3" "q"
"ZFP62" "chr5" 180274611 180288286 "5q35.3" "q"
"BTNL3" "chr5" 180415845 180433727 "5q35.3" "q"
"TRIM7" "chr5" 180620924 180632293 "5q35.3" "q"
"TRIM41" "chr5" 180649499 180662809 "5q35.3" "q"
"GNB2L1" "chr5" 180663909 180675096 NA "q"
"DUSP22" "chr6" 291630 351355 "6p25.3" "p"
"GMDS" "chr6" 1624041 2245926 "6p25.3" "p"
"WRNIP1" "chr6" 2765648 2787186 "6p25.2" "p"
"SERPINB1" "chr6" 2832566 2842240 "6p25.2" "p"
"SERPINB9" "chr6" 2887500 2903514 "6p25.2" "p"
"SERPINB6" "chr6" 2948393 2972090 "6p25.2" "p"
"NQO2" "chr6" 2988221 3019996 "6p25.2" "p"
"BPHL" "chr6" 3118608 3153812 "6p25.2" "p"
"TUBB2A" "chr6" 3153903 3157760 "6p25.2" "p"
"PSMG4" "chr6" 3231637 3303607 "6p25.2" "p"
"SLC22A23" "chr6" 3269196 3457256 "6p25.2" "p"
"PRPF4B" "chr6" 4021501 4065217 "6p25.2" "p"
"ECI2" "chr6" 4115923 4135831 "6p25.2" "p"
"CDYL" "chr6" 4706393 4955785 "6p25.1" "p"
"RPP40" "chr6" 4994966 5004297 "6p25.1" "p"
"LYRM4" "chr6" 5102827 5261172 "6p25.1" "p"
"FARS2" "chr6" 5261277 5771813 "6p25.1" "p"
"RREB1" "chr6" 7107830 7252213 "6p24.3" "p"
"SSR1" "chr6" 7268539 7347679 "6p24.3" "p"
"RIOK1" "chr6" 7389729 7418270 "6p24.3" "p"
"DSP" "chr6" 7541808 7586950 "6p24.3" "p"
"SNRNP48" "chr6" 7590432 7612200 "6p24.3" "p"
"EEF1E1" "chr6" 8073593 8102811 "6p24.3" "p"
"SLC35B3" "chr6" 8413301 8435794 "6p24.3" "p"
"HULC" "chr6" 8652370 8654079 "6p24.3" "p"
"TFAP2A" "chr6" 10393419 10419892 "6p24.3" "p"
"PAK1IP1" "chr6" 10694928 10710015 "6p24.2" "p"
"TMEM14C" "chr6" 10723148 10731362 "6p24.2" "p"
"TMEM14B" "chr6" 10747992 10852986 "6p24.2" "p"
"SMIM13" "chr6" 11094266 11138964 "6p24.2" "p"
"NEDD9" "chr6" 11183531 11382581 "6p24.2" "p"
"EDN1" "chr6" 12290596 12297427 "6p24.1" "p"
"TBC1D7" "chr6" 13266774 13328815 "6p24.1" "p"
"GFOD1" "chr6" 13358062 13487894 "6p23" "p"
"SIRT5" "chr6" 13574816 13614790 "6p23" "p"
"NOL7" "chr6" 13615559 13632971 "6p23" "p"
"RANBP9" "chr6" 13621730 13711796 "6p23" "p"
"MCUR1" "chr6" 13786789 13814800 "6p23" "p"
"CD83" "chr6" 14117872 14137149 "6p23" "p"
"JARID2" "chr6" 15246527 15522252 "6p22.3" "p"
"DTNBP1" "chr6" 15523032 15663289 "6p22.3" "p"
"MYLIP" "chr6" 16129356 16148479 "6p22.3" "p"
"GMPR" "chr6" 16238811 16295780 "6p22.3" "p"
"ATXN1" "chr6" 16299343 16761722 "6p22.3" "p"
"FAM8A1" "chr6" 17600586 17611950 "6p22.3" "p"
"NUP153" "chr6" 17615269 17706656 "6p22.3" "p"
"KIF13A" "chr6" 17759414 17987854 "6p22.3" "p"
"TPMT" "chr6" 18128542 18155305 "6p22.3" "p"
"KDM1B" "chr6" 18155560 18224084 "6p22.3" "p"
"DEK" "chr6" 18224099 18265054 "6p22.3" "p"
"E2F3" "chr6" 20402398 20493941 "6p22.3" "p"
"CDKAL1" "chr6" 20534688 21232635 "6p22.3" "p"
"SOX4" "chr6" 21593972 21598847 "6p22.3" "p"
"MRS2" "chr6" 24403153 24425810 "6p22.3" "p"
"ALDH5A1" "chr6" 24495080 24537435 "6p22.3" "p"
"TDP2" "chr6" 24650205 24667261 "6p22.3" "p"
"ACOT13" "chr6" 24667263 24705293 "6p22.3" "p"
"C6orf62" "chr6" 24705089 24721064 "6p22.3" "p"
"GMNN" "chr6" 24775159 24786327 "6p22.3" "p"
"LRRC16A" "chr6" 25279306 25620758 NA "q"
"TRIM38" "chr6" 25963030 25987384 "6p22.2" "p"
"HIST1H1C" "chr6" 26055968 26056699 NA "q"
"HIST1H4C" "chr6" 26104104 26104518 NA "q"
"HIST1H2AC" "chr6" 26124373 26139344 NA "q"
"HIST1H2BD" "chr6" 26158349 26171577 NA "q"
"HIST1H2BG" "chr6" 26216428 26216872 NA "q"
"HIST1H2AE" "chr6" 26217165 26217711 NA "q"
"BTN3A2" "chr6" 26365387 26378546 "6p22.2" "p"
"BTN2A1" "chr6" 26458150 26476849 "6p22.2" "p"
"ABT1" "chr6" 26597180 26600278 "6p22.2" "p"
"ZNF322" "chr6" 26636518 26659980 "6p22.2" "p"
"PRSS16" "chr6" 27215480 27224403 "6p22.1" "p"
"RP1-313I6.12" "chr6" 28046570 28048908 NA "q"
"ZNF165" "chr6" 28048753 28057341 "6p22.1" "p"
"ZSCAN16-AS1" "chr6" 28089573 28105071 "6p22.1" "p"
"TRIM27" "chr6" 28870779 28891766 "6p22.1" "p"
"HLA-F" "chr6" 29690552 29706305 "6p22.1" "p"
"HLA-A" "chr6" 29909037 29913661 "6p22.1" "p"
"ZNRD1" "chr6" 30026676 30032686 NA "q"
"PPP1R11" "chr6" 30034486 30038110 "6p22.1" "p"
"RNF39" "chr6" 30038043 30043664 "6p22.1" "p"
"TRIM31" "chr6" 30070674 30080883 "6p22.1" "p"
"TRIM15" "chr6" 30130993 30140473 "6p22.1" "p"
"TRIM26" "chr6" 30152232 30181204 "6p22.1" "p"
"HCG18" "chr6" 30255174 30294927 "6p22.1" "p"
"RPP21" "chr6" 30312908 30314661 "6p22.1" "p"
"HLA-E" "chr6" 30457244 30461982 "6p22.1" "p"
"GNL1" "chr6" 30509154 30524951 "6p21.33" "p"
"ABCF1" "chr6" 30539153 30564956 "6p21.33" "p"
"PPP1R10" "chr6" 30568177 30586389 "6p21.33" "p"
"MRPS18B" "chr6" 30585486 30594172 "6p21.33" "p"
"ATAT1" "chr6" 30594619 30614600 "6p21.33" "p"
"C6orf136" "chr6" 30614816 30620987 "6p21.33" "p"
"DHX16" "chr6" 30620896 30640814 "6p21.33" "p"
"TUBB" "chr6" 30687978 30693203 "6p21.33" "p"
"FLOT1" "chr6" 30695486 30710510 "6p21.33" "p"
"IER3" "chr6" 30710976 30712331 "6p21.33" "p"
"DDR1" "chr6" 30844198 30867933 "6p21.33" "p"
"VARS2" "chr6" 30876019 30894236 "6p21.33" "p"
"SFTA2" "chr6" 30899130 30899952 "6p21.33" "p"
"PSORS1C1" "chr6" 31082527 31107869 "6p21.33" "p"
"CCHCR1" "chr6" 31110216 31126015 "6p21.33" "p"
"HLA-C" "chr6" 31236526 31239907 "6p21.33" "p"
"HLA-B" "chr6" 31321649 31324965 "6p21.33" "p"
"MICA" "chr6" 31371356 31383092 "6p21.33" "p"
"DDX39B" "chr6" 31497996 31510225 "6p21.33" "p"
"NFKBIL1" "chr6" 31514647 31526606 "6p21.33" "p"
"PRRC2A" "chr6" 31588497 31605548 "6p21.33" "p"
"BAG6" "chr6" 31606805 31620482 "6p21.33" "p"
"C6orf47" "chr6" 31626075 31628549 "6p21.33" "p"
"GPANK1" "chr6" 31629006 31634060 "6p21.33" "p"
"CSNK2B" "chr6" 31633013 31638120 "6p21.33" "p"
"DDAH2" "chr6" 31694815 31698394 "6p21.33" "p"
"CLIC1" "chr6" 31698358 31707540 "6p21.33" "p"
"VARS" "chr6" 31745295 31763730 NA "q"
"LSM2" "chr6" 31765173 31774761 "6p21.33" "p"
"HSPA1A" "chr6" 31783291 31785723 "6p21.33" "p"
"HSPA1B" "chr6" 31795512 31798031 "6p21.33" "p"
"C6orf48" "chr6" 31802385 31807541 NA "q"
"NEU1" "chr6" 31825436 31830683 "6p21.33" "p"
"SLC44A4" "chr6" 31830969 31846823 "6p21.33" "p"
"EHMT2" "chr6" 31847536 31865464 "6p21.33" "p"
"C2" "chr6" 31865562 31913449 "6p21.33" "p"
"NELFE" "chr6" 31919864 31926887 "6p21.33" "p"
"SKIV2L" "chr6" 31926857 31937532 "6p21.33" "p"
"DXO" "chr6" 31937587 31940069 "6p21.33" "p"
"STK19" "chr6" 31938868 31950598 "6p21.33" "p"
"ATF6B" "chr6" 32065953 32096030 "6p21.32" "p"
"AGPAT1" "chr6" 32135989 32145873 "6p21.32" "p"
"RNF5" "chr6" 32146131 32151930 "6p21.32" "p"
"PBX2" "chr6" 32152512 32157963 "6p21.32" "p"
"HLA-DRA" "chr6" 32407619 32412823 "6p21.32" "p"
"HLA-DRB5" "chr6" 32485120 32498064 "6p21.32" "p"
"HLA-DRB1" "chr6" 32546546 32557625 "6p21.32" "p"
"HLA-DQB1" "chr6" 32627244 32636160 "6p21.32" "p"
"TAP2" "chr6" 32789610 32806557 "6p21.32" "p"
"PSMB8" "chr6" 32808494 32812480 "6p21.32" "p"
"PSMB9" "chr6" 32811913 32827362 "6p21.32" "p"
"TAP1" "chr6" 32812986 32821755 "6p21.32" "p"
"HLA-DMA" "chr6" 32916390 32936871 "6p21.32" "p"
"BRD2" "chr6" 32936437 32949282 "6p21.32" "p"
"HLA-DPA1" "chr6" 33032346 33048552 "6p21.32" "p"
"HLA-DPB1" "chr6" 33043703 33054978 "6p21.32" "p"
"RXRB" "chr6" 33161365 33168630 "6p21.32" "p"
"SLC39A7" "chr6" 33168222 33172216 "6p21.32" "p"
"HSD17B8" "chr6" 33172419 33174608 "6p21.32" "p"
"RING1" "chr6" 33176272 33180499 "6p21.32" "p"
"VPS52" "chr6" 33218049 33239824 "6p21.32" "p"
"RPS18" "chr6" 33239787 33244287 "6p21.32" "p"
"B3GALT4" "chr6" 33244917 33252609 "6p21.32" "p"
"WDR46" "chr6" 33246885 33257304 "6p21.32" "p"
"PFDN6" "chr6" 33257079 33266178 "6p21.32" "p"
"RGL2" "chr6" 33259431 33267101 "6p21.32" "p"
"TAPBP" "chr6" 33267471 33282164 "6p21.32" "p"
"DAXX" "chr6" 33286335 33297046 "6p21.32" "p"
"KIFC1" "chr6" 33359313 33377701 "6p21.32" "p"
"PHF1" "chr6" 33378176 33384230 "6p21.32" "p"
"CUTA" "chr6" 33384219 33386094 "6p21.32" "p"
"BAK1" "chr6" 33540329 33548019 "6p21.31" "p"
"ITPR3" "chr6" 33588142 33664351 "6p21.31" "p"
"UQCC2" "chr6" 33662070 33679504 "6p21.31" "p"
"LEMD2" "chr6" 33738979 33756913 "6p21.31" "p"
"MLN" "chr6" 33762450 33771788 "6p21.31" "p"
"HMGA1" "chr6" 34204650 34214008 "6p21.31" "p"
"C6orf1" "chr6" 34214157 34217247 NA "q"
"NUDT3" "chr6" 34247456 34360451 "6p21.31" "p"
"RPS10" "chr6" 34385231 34393902 "6p21.31" "p"
"SPDEF" "chr6" 34505579 34524110 "6p21.31" "p"
"C6orf106" "chr6" 34555065 34664636 NA "q"
"RP11-140K17.3" "chr6" 34664094 34665247 NA "q"
"SNRPC" "chr6" 34725183 34741571 "6p21.31" "p"
"TAF11" "chr6" 34845555 34855866 "6p21.31" "p"
"ANKS1A" "chr6" 34857042 35059179 "6p21.31" "p"
"DEF6" "chr6" 35265595 35289548 "6p21.31" "p"
"PPARD" "chr6" 35310335 35395968 "6p21.31" "p"
"RPL10A" "chr6" 35436185 35438562 "6p21.31" "p"
"TEAD3" "chr6" 35441374 35464853 "6p21.31" "p"
"FKBP5" "chr6" 35541362 35696360 "6p21.31" "p"
"SRPK1" "chr6" 35800743 35889119 "6p21.31" "p"
"MAPK14" "chr6" 35995488 36079013 "6p21.31" "p"
"MAPK13" "chr6" 36095586 36107842 "6p21.31" "p"
"BRPF3" "chr6" 36164521 36200567 "6p21.31" "p"
"C6orf222" "chr6" 36283534 36304662 NA "q"
"ETV7" "chr6" 36322419 36356164 "6p21.31" "p"
"KCTD20" "chr6" 36410544 36458920 "6p21.31" "p"
"STK38" "chr6" 36461669 36515247 "6p21.31" "p"
"SRSF3" "chr6" 36562145 36573377 "6p21.31-p21.2" "p"
"CDKN1A" "chr6" 36644305 36655116 "6p21.2" "p"
"PPIL1" "chr6" 36822603 36842800 "6p21.2" "p"
"C6orf89" "chr6" 36839646 36896740 "6p21.2" "p"
"MTCH1" "chr6" 36935917 36954074 "6p21.2" "p"
"PIM1" "chr6" 37137979 37143202 "6p21.2" "p"
"RNF8" "chr6" 37321748 37362514 "6p21.2" "p"
"CCDC167" "chr6" 37450696 37467698 "6p21.2" "p"
"ZFAND3" "chr6" 37787275 38122400 "6p21.2" "p"
"GLO1" "chr6" 38643701 38670917 "6p21.2" "p"
"SAYSD1" "chr6" 39071840 39082965 "6p21.2" "p"
"KCNK5" "chr6" 39156749 39197226 "6p21.2" "p"
"OARD1" "chr6" 41001366 41065526 "6p21.1" "p"
"NFYA" "chr6" 41040684 41067715 "6p21.1" "p"
"FOXP4" "chr6" 41514164 41570122 "6p21.1" "p"
"MDFI" "chr6" 41604620 41621984 "6p21.1" "p"
"TFEB" "chr6" 41651716 41703997 "6p21.1" "p"
"BYSL" "chr6" 41888926 41900784 "6p21.1" "p"
"CCND3" "chr6" 41902671 42018095 "6p21.1" "p"
"TAF8" "chr6" 42018251 42055199 "6p21.1" "p"
"C6orf132" "chr6" 42068856 42110357 "6p21.1" "p"
"MRPS10" "chr6" 42174539 42185603 "6p21.1" "p"
"UBR2" "chr6" 42531800 42661242 "6p21.1" "p"
"TBCC" "chr6" 42712219 42714558 "6p21.1" "p"
"RPL7L1" "chr6" 42847356 42857663 "6p21.1" "p"
"C6orf226" "chr6" 42858005 42858554 "6p21.1" "p"
"CNPY3" "chr6" 42896938 42907025 "6p21.1" "p"
"PPP2R5D" "chr6" 42952237 42980080 "6p21.1" "p"
"MEA1" "chr6" 42979832 42981706 "6p21.1" "p"
"KLHDC3" "chr6" 42981951 42989036 "6p21.1" "p"
"RRP36" "chr6" 42989383 43001894 "6p21.1" "p"
"KLC4" "chr6" 43008515 43042837 "6p21.1" "p"
"MRPL2" "chr6" 43021767 43027544 "6p21.1" "p"
"PTK7" "chr6" 43044006 43129457 "6p21.1" "p"
"SRF" "chr6" 43139037 43149243 "6p21.1" "p"
"DNPH1" "chr6" 43193367 43197222 "6p21.1" "p"
"ZNF318" "chr6" 43274872 43337216 "6p21.1" "p"
"POLR1C" "chr6" 43477440 43497323 "6p21.1" "p"
"YIPF3" "chr6" 43479565 43484728 "6p21.1" "p"
"XPO5" "chr6" 43490072 43543812 "6p21.1" "p"
"MAD2L1BP" "chr6" 43597277 43608689 "6p21.1" "p"
"MRPS18A" "chr6" 43639040 43655528 "6p21.1" "p"
"VEGFA" "chr6" 43737921 43754224 "6p21.1" "p"
"C6orf223" "chr6" 43968317 43973695 "6p21.1" "p"
"MRPL14" "chr6" 44081194 44095194 "6p21.1" "p"
"TMEM63B" "chr6" 44094651 44123256 "6p21.1" "p"
"SLC29A1" "chr6" 44187242 44201888 "6p21.1" "p"
"HSP90AB1" "chr6" 44214824 44221620 "6p21.1" "p"
"SLC35B2" "chr6" 44221833 44225291 "6p21.1" "p"
"NFKBIE" "chr6" 44225903 44233500 "6p21.1" "p"
"CDC5L" "chr6" 44355262 44418163 "6p21.1" "p"
